                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85288,                0.68333,                      1,                0.61475,             0.00020706,             0.00020706,             0.00020706
                      2,                0.69772,                0.81667,                      1,                0.53516,             0.00041292,             0.00041292,             0.00041292
                      3,                0.63837,                   0.85,                      1,                0.51489,              0.0006103,              0.0006103,              0.0006103
                      4,                0.58778,                0.86667,                      1,                  0.479,             0.00067159,             0.00067159,             0.00067159
                      5,                0.49175,                0.91667,                      1,                0.44299,             0.00067159,             0.00067159,             0.00067159
                      6,                0.49059,                0.91667,                      1,                 0.4248,             0.00065745,             0.00065745,             0.00065745
                      7,                0.48284,                0.88333,                      1,                0.43713,             0.00064331,             0.00064331,             0.00064331
                      8,                0.43766,                0.88333,                      1,                0.44092,             0.00062918,             0.00062918,             0.00062918
                      9,                0.50037,                0.91667,                      1,                0.43738,             0.00061504,             0.00061504,             0.00061504
                     10,                0.46076,                0.93333,                      1,                0.45215,              0.0006009,              0.0006009,              0.0006009
                     11,                0.40669,                0.96667,                      1,                  0.422,             0.00058677,             0.00058677,             0.00058677
                     12,                0.39301,                   0.95,                      1,                0.42847,             0.00057263,             0.00057263,             0.00057263
                     13,                0.37419,                    0.9,                      1,                0.43762,             0.00055849,             0.00055849,             0.00055849
                     14,                0.38578,                0.93333,                      1,                0.41956,             0.00054435,             0.00054435,             0.00054435
                     15,                0.34752,                0.93333,                      1,                0.40662,             0.00053022,             0.00053022,             0.00053022
                     16,                0.39022,                0.88333,                      1,                0.41589,             0.00051608,             0.00051608,             0.00051608
                     17,                0.36171,                0.93333,                      1,                0.42883,             0.00050194,             0.00050194,             0.00050194
                     18,                0.34753,                0.91667,                      1,                0.42822,              0.0004878,              0.0004878,              0.0004878
                     19,                0.37266,                    0.9,                      1,                0.42981,             0.00047367,             0.00047367,             0.00047367
                     20,                0.34429,                0.91667,                      1,                0.41687,             0.00045953,             0.00045953,             0.00045953
                     21,                0.32757,                0.91667,                      1,                0.42212,             0.00044539,             0.00044539,             0.00044539
                     22,                0.29614,                   0.95,                      1,                0.39355,             0.00043126,             0.00043126,             0.00043126
                     23,                0.33946,                0.93333,                      1,                0.41223,             0.00041712,             0.00041712,             0.00041712
                     24,                 0.3437,                0.93333,                      1,                0.41565,             0.00040298,             0.00040298,             0.00040298
                     25,                0.27283,                0.93333,                      1,                0.40259,             0.00038884,             0.00038884,             0.00038884
                     26,                0.30043,                   0.95,                      1,                0.41211,             0.00037471,             0.00037471,             0.00037471
                     27,                0.32578,                   0.95,                      1,                0.41187,             0.00036057,             0.00036057,             0.00036057
                     28,                0.33735,                   0.95,                      1,                0.41455,             0.00034643,             0.00034643,             0.00034643
                     29,                0.34984,                   0.95,                      1,                0.40234,              0.0003323,              0.0003323,              0.0003323
                     30,                0.32448,                   0.95,                      1,                0.40588,             0.00031816,             0.00031816,             0.00031816
                     31,                0.25617,                   0.95,                      1,                0.39709,             0.00030402,             0.00030402,             0.00030402
                     32,                0.35403,                   0.95,                      1,                0.40759,             0.00028988,             0.00028988,             0.00028988
                     33,                0.29433,                   0.95,                      1,                0.40112,             0.00027575,             0.00027575,             0.00027575
                     34,                0.28483,                0.98333,                      1,                0.39404,             0.00026161,             0.00026161,             0.00026161
                     35,                0.27288,                   0.95,                      1,                  0.401,             0.00024747,             0.00024747,             0.00024747
                     36,                0.30325,                   0.95,                      1,                0.40918,             0.00023334,             0.00023334,             0.00023334
                     37,                0.32428,                0.93333,                      1,                0.40527,              0.0002192,              0.0002192,              0.0002192
                     38,                0.27508,                0.96667,                      1,                0.39014,             0.00020506,             0.00020506,             0.00020506
                     39,                0.27486,                   0.95,                      1,                0.39478,             0.00019092,             0.00019092,             0.00019092
                     40,                0.26595,                0.96667,                      1,                0.38293,             0.00017679,             0.00017679,             0.00017679
                     41,                0.25981,                0.96667,                      1,                0.37585,             0.00016265,             0.00016265,             0.00016265
                     42,                0.28993,                0.96667,                      1,                 0.3772,             0.00014851,             0.00014851,             0.00014851
                     43,                0.28095,                0.96667,                      1,                 0.3772,             0.00013437,             0.00013437,             0.00013437
                     44,                0.25388,                0.96667,                      1,                0.38184,             0.00012024,             0.00012024,             0.00012024
                     45,                 0.2666,                0.96667,                      1,                0.38489,              0.0001061,              0.0001061,              0.0001061
                     46,                0.27588,                0.96667,                      1,                0.38672,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.26257,                0.96667,                      1,                0.38708,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.28135,                0.96667,                      1,                0.38403,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.29738,                0.96667,                      1,                0.38525,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 0.2723,                0.96667,                      1,                0.38611,             3.5414e-05,             3.5414e-05,             3.5414e-05
