                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66016,                0.73077,                      1,                0.60083,             0.00019278,             0.00019278,             0.00019278
                      2,                 0.4381,                0.84615,                      1,                0.46448,             0.00038881,             0.00038881,             0.00038881
                      3,                0.23198,                0.96154,                      1,                0.35547,             0.00058089,             0.00058089,             0.00058089
                      4,                0.17828,                      1,                      1,                0.33313,             0.00069279,             0.00069279,             0.00069279
                      5,                0.17097,                0.96154,                      1,                0.35205,             0.00069279,             0.00069279,             0.00069279
                      6,                0.14231,                0.98077,                      1,                0.33875,             0.00068573,             0.00068573,             0.00068573
                      7,                0.12883,                0.98077,                      1,                0.32751,             0.00067866,             0.00067866,             0.00067866
                      8,                0.10747,                0.98077,                      1,                0.32971,             0.00067159,             0.00067159,             0.00067159
                      9,                0.11678,                0.98077,                      1,                0.35449,             0.00066452,             0.00066452,             0.00066452
                     10,                0.06729,                0.98077,                      1,                0.33386,             0.00065745,             0.00065745,             0.00065745
                     11,                0.09468,                0.98077,                      1,                0.32727,             0.00065038,             0.00065038,             0.00065038
                     12,                0.06331,                0.98077,                      1,                0.32959,             0.00064331,             0.00064331,             0.00064331
                     13,                0.09819,                      1,                      1,                 0.3186,             0.00063625,             0.00063625,             0.00063625
                     14,                0.12006,                      1,                      1,                0.31995,             0.00062918,             0.00062918,             0.00062918
                     15,                0.08366,                0.96154,                      1,                0.35071,             0.00062211,             0.00062211,             0.00062211
                     16,                0.06776,                0.98077,                      1,                0.34131,             0.00061504,             0.00061504,             0.00061504
                     17,                0.06486,                0.98077,                      1,                0.33374,             0.00060797,             0.00060797,             0.00060797
                     18,                0.09553,                0.96154,                      1,                0.34595,              0.0006009,              0.0006009,              0.0006009
                     19,                0.07968,                0.96154,                      1,                0.37244,             0.00059383,             0.00059383,             0.00059383
                     20,                0.12585,                0.98077,                      1,                 0.3385,             0.00058677,             0.00058677,             0.00058677
                     21,                0.11718,                      1,                      1,                0.32568,              0.0005797,              0.0005797,              0.0005797
                     22,                0.05969,                      1,                      1,                0.32812,             0.00057263,             0.00057263,             0.00057263
                     23,                0.07814,                      1,                      1,                0.31958,             0.00056556,             0.00056556,             0.00056556
                     24,                0.06605,                      1,                      1,                0.31445,             0.00055849,             0.00055849,             0.00055849
                     25,                0.04145,                      1,                      1,                0.31567,             0.00055142,             0.00055142,             0.00055142
                     26,                0.05102,                      1,                      1,                0.31689,             0.00054435,             0.00054435,             0.00054435
                     27,                0.07447,                0.98077,                      1,                0.32849,             0.00053728,             0.00053728,             0.00053728
                     28,                0.05225,                0.98077,                      1,                0.32751,             0.00053022,             0.00053022,             0.00053022
                     29,                0.07698,                      1,                      1,                0.32117,             0.00052315,             0.00052315,             0.00052315
                     30,                 0.0873,                0.98077,                      1,                0.33643,             0.00051608,             0.00051608,             0.00051608
                     31,                0.02891,                      1,                      1,                0.32471,             0.00050901,             0.00050901,             0.00050901
                     32,                0.06521,                      1,                      1,                0.32312,             0.00050194,             0.00050194,             0.00050194
                     33,                0.04221,                      1,                      1,                0.32178,             0.00049487,             0.00049487,             0.00049487
                     34,                0.02971,                0.98077,                      1,                0.33325,              0.0004878,              0.0004878,              0.0004878
                     35,                0.04718,                0.98077,                      1,                0.33618,             0.00048074,             0.00048074,             0.00048074
                     36,                0.02857,                0.98077,                      1,                0.32764,             0.00047367,             0.00047367,             0.00047367
                     37,                0.04626,                0.98077,                      1,                 0.3252,              0.0004666,              0.0004666,              0.0004666
                     38,                0.03654,                0.98077,                      1,                0.33057,             0.00045953,             0.00045953,             0.00045953
                     39,                0.03071,                0.98077,                      1,                0.33911,             0.00045246,             0.00045246,             0.00045246
                     40,                0.03353,                0.98077,                      1,                0.32947,             0.00044539,             0.00044539,             0.00044539
                     41,                0.01423,                0.98077,                      1,                 0.3407,             0.00043832,             0.00043832,             0.00043832
                     42,                0.03463,                      1,                      1,                0.32532,             0.00043126,             0.00043126,             0.00043126
                     43,                0.03093,                      1,                      1,                0.32263,             0.00042419,             0.00042419,             0.00042419
                     44,                0.02302,                      1,                      1,                0.32434,             0.00041712,             0.00041712,             0.00041712
                     45,                0.03711,                0.98077,                      1,                0.33105,             0.00041005,             0.00041005,             0.00041005
                     46,                0.02568,                0.96154,                      1,                0.34058,             0.00040298,             0.00040298,             0.00040298
                     47,                0.02331,                0.98077,                      1,                0.33203,             0.00039591,             0.00039591,             0.00039591
                     48,                0.01836,                0.98077,                      1,                0.32886,             0.00038884,             0.00038884,             0.00038884
                     49,                0.07442,                      1,                      1,                0.31702,             0.00038178,             0.00038178,             0.00038178
                     50,                0.04584,                      1,                      1,                0.31384,             0.00037471,             0.00037471,             0.00037471
                     51,                0.07516,                      1,                      1,                0.31445,             0.00036764,             0.00036764,             0.00036764
                     52,                0.03731,                0.98077,                      1,                0.32715,             0.00036057,             0.00036057,             0.00036057
                     53,                0.02804,                0.98077,                      1,                0.33398,              0.0003535,              0.0003535,              0.0003535
                     54,                0.04375,                0.98077,                      1,                0.33081,             0.00034643,             0.00034643,             0.00034643
                     55,                0.02148,                      1,                      1,                0.31641,             0.00033936,             0.00033936,             0.00033936
                     56,                0.06386,                      1,                      1,                0.31702,              0.0003323,              0.0003323,              0.0003323
                     57,                0.05923,                      1,                      1,                0.31372,             0.00032523,             0.00032523,             0.00032523
                     58,                0.03507,                      1,                      1,                0.31384,             0.00031816,             0.00031816,             0.00031816
                     59,                0.03173,                      1,                      1,                0.31592,             0.00031109,             0.00031109,             0.00031109
                     60,                0.02796,                0.98077,                      1,                0.32214,             0.00030402,             0.00030402,             0.00030402
                     61,                0.02468,                      1,                      1,                0.31567,             0.00029695,             0.00029695,             0.00029695
                     62,                0.02223,                      1,                      1,                0.31836,             0.00028988,             0.00028988,             0.00028988
                     63,                0.01975,                      1,                      1,                0.31714,             0.00028282,             0.00028282,             0.00028282
                     64,                0.02173,                      1,                      1,                0.32202,             0.00027575,             0.00027575,             0.00027575
                     65,                0.01323,                0.98077,                      1,                0.33081,             0.00026868,             0.00026868,             0.00026868
                     66,                 0.0172,                0.98077,                      1,                 0.3241,             0.00026161,             0.00026161,             0.00026161
                     67,                0.01869,                      1,                      1,                0.31946,             0.00025454,             0.00025454,             0.00025454
                     68,                0.01746,                      1,                      1,                0.31885,             0.00024747,             0.00024747,             0.00024747
                     69,                0.01361,                      1,                      1,                0.31409,              0.0002404,              0.0002404,              0.0002404
                     70,                0.05938,                      1,                      1,                0.31506,             0.00023334,             0.00023334,             0.00023334
                     71,                0.02165,                      1,                      1,                0.31494,             0.00022627,             0.00022627,             0.00022627
                     72,                0.02417,                      1,                      1,                0.31689,              0.0002192,              0.0002192,              0.0002192
                     73,                0.04373,                      1,                      1,                0.32031,             0.00021213,             0.00021213,             0.00021213
                     74,                0.01031,                      1,                      1,                0.31604,             0.00020506,             0.00020506,             0.00020506
                     75,                0.01563,                      1,                      1,                0.32043,             0.00019799,             0.00019799,             0.00019799
                     76,                 0.0178,                      1,                      1,                0.31506,             0.00019092,             0.00019092,             0.00019092
                     77,                0.01093,                      1,                      1,                0.31421,             0.00018385,             0.00018385,             0.00018385
                     78,                0.01662,                      1,                      1,                0.31396,             0.00017679,             0.00017679,             0.00017679
                     79,                0.01237,                      1,                      1,                0.31372,             0.00016972,             0.00016972,             0.00016972
                     80,                0.01197,                      1,                      1,                0.31384,             0.00016265,             0.00016265,             0.00016265
                     81,                 0.0175,                      1,                      1,                0.31396,             0.00015558,             0.00015558,             0.00015558
                     82,                0.00895,                      1,                      1,                0.31482,             0.00014851,             0.00014851,             0.00014851
                     83,                0.04024,                      1,                      1,                 0.3147,             0.00014144,             0.00014144,             0.00014144
